股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,今开,昨开,量比,换手率,市盈率,市净率
603395,N红四方,160.99,1917.42,153.01,369918,3095675671.0,1722.81,188.0,50.52,65.0,7.98,"""-""",91.68,215.9,22.98
831855,浙江大农,20.8,30.0,4.8,115376,234075587.03,26.25,20.8,16.6,16.87,16.0,2.95,43.6,46.48,2.86
831726,朱老六,27.19,22.26,4.95,172419,451400057.58,32.6,28.91,21.66,23.0,22.24,2.26,30.83,115.68,6.32
300117,*ST嘉寓,1.36,20.35,0.23,1288151,158762652.94,23.01,1.36,1.1,1.12,1.13,1.18,17.97,-3.53,-0.58
300942,易瑞生物,10.55,20.02,1.76,210404,214354424.39,14.68,10.55,9.26,9.39,8.79,3.74,5.25,813.93,5.4
300703,创源股份,13.19,20.02,2.2,335160,421178426.01,17.65,13.19,11.25,11.5,10.99,2.14,19.75,29.9,2.83
301419,阿莱德,34.96,20.01,5.83,56153,194258399.68,17.95,34.96,29.73,29.73,29.13,2.8,15.88,94.86,3.76
300723,一品红,20.34,20.0,3.39,327046,641010990.58,21.47,20.34,16.7,16.82,16.95,3.84,7.73,-27.95,4.21
300711,广哈通信,23.41,19.99,3.9,204367,460592507.19,19.12,23.41,19.68,19.68,19.51,2.63,8.23,208.75,8.32
301011,华立科技,30.68,19.98,5.11,194049,572426895.35,13.1,30.68,27.33,27.78,25.57,2.4,13.49,48.49,6.16
839273,一致魔芋,27.45,19.97,4.57,59263,153887443.8,24.87,28.6,22.91,22.99,22.88,3.38,11.83,24.47,3.42
300640,德艺文创,7.54,19.68,1.24,1080188,792501034.06,18.1,7.56,6.42,6.7,6.3,4.18,48.62,156.5,2.92
872351,华光源海,18.91,18.19,2.91,192867,328155846.86,35.81,20.69,14.96,14.97,16.0,1.91,54.7,199.02,3.79
300240,飞力达,8.35,13.61,1.0,1049711,859788699.97,20.68,8.82,7.3,7.32,7.35,4.47,28.95,104.31,2.16
300788,中信出版,36.55,13.26,4.28,287334,1053722346.02,18.31,38.72,32.81,34.15,32.27,3.03,15.11,40.06,3.19
688227,品高股份,31.21,13.08,3.61,75773,235751178.0,18.04,32.88,27.9,27.9,27.6,3.73,12.0,-56.71,2.62
301078,孩子王,14.09,12.72,1.59,1078950,1458605420.71,20.0,15.0,12.5,12.6,12.5,1.77,8.66,101.28,4.13
301116,益客食品,13.26,12.37,1.46,233291,311258385.11,20.51,14.16,11.74,11.8,11.8,5.2,20.03,31.66,3.25
835508,殷图网联,47.4,11.95,5.06,105551,477767915.54,25.32,52.0,41.28,42.88,42.34,3.45,40.54,-227.85,12.35
688622,禾信仪器,53.46,10.16,4.93,44873,236547085.0,17.31,57.3,48.9,50.2,48.53,2.28,6.41,-126.69,9.03
300905,宝丽迪,31.83,10.14,2.93,203339,650196421.37,15.16,33.33,28.95,28.98,28.9,2.57,16.33,52.49,3.09
002348,高乐股份,4.46,10.12,0.41,115753,51625838.0,0.0,4.46,4.46,4.46,4.05,0.24,1.3,-92.53,8.82
002716,湖南白银,3.92,10.11,0.36,2092058,786798820.25,12.92,3.92,3.46,3.47,3.56,1.71,9.46,67.23,3.41
002512,达华智能,4.9,10.11,0.45,421632,201897322.7,9.89,4.9,4.46,4.46,4.45,0.92,4.02,1369.63,12.07
600527,江南高纤,2.18,10.1,0.2,537759,115819082.0,8.08,2.18,2.02,2.02,1.98,0.93,3.11,94.06,1.76
600327,大东方,6.0,10.09,0.55,1397575,770645383.0,20.0,6.0,4.91,5.1,5.45,0.83,15.8,39.49,1.62
002115,三维通信,6.77,10.08,0.62,506531,339892513.82,5.37,6.77,6.44,6.64,6.15,0.67,6.73,-167.22,2.36
600080,金花股份,7.76,10.07,0.71,178239,133976077.0,10.07,7.76,7.05,7.06,7.05,4.54,4.78,70.6,1.91
002306,中科云网,4.05,10.05,0.37,555384,215190946.71,12.77,4.05,3.58,3.6,3.68,1.29,6.83,-68.47,1115.06
603803,瑞斯康达,8.87,10.05,0.81,38604,34241367.0,0.0,8.87,8.87,8.87,8.06,0.44,0.91,-43.9,2.26
002301,齐心集团,6.79,10.05,0.62,601917,397732443.92,9.56,6.79,6.2,6.25,6.17,5.31,8.38,23.17,1.55
002820,桂发祥,11.94,10.05,1.09,172844,202073885.52,7.19,11.94,11.16,11.4,10.85,0.8,8.64,50.37,2.58
002321,华英农业,2.63,10.04,0.24,926040,235554178.82,9.62,2.63,2.4,2.4,2.39,2.26,4.36,128.27,5.83
603015,弘讯科技,14.14,10.04,1.29,1054110,1489826494.0,1.17,14.14,13.99,14.14,12.85,12.34,26.08,86.7,4.25
000995,皇台酒业,14.8,10.04,1.35,285185,417583497.68,11.0,14.8,13.32,13.32,13.45,4.32,16.08,87.04,18.06
603036,如通股份,16.67,10.03,1.52,272818,449123810.0,10.76,16.67,15.04,15.15,15.15,3.11,13.24,36.18,2.65
600936,广西广电,3.4,10.03,0.31,185037,61794944.0,8.74,3.4,3.13,3.15,3.09,1.01,1.11,-7.0,6.13
600725,云维股份,3.62,10.03,0.33,354085,125391162.0,10.03,3.62,3.29,3.3,3.29,1.63,2.87,-367.15,12.71
002467,二六三,7.35,10.03,0.67,149281,109721770.2,0.0,7.35,7.35,7.35,6.68,0.1,1.09,117.54,5.37
002069,獐子岛,3.95,10.03,0.36,236757,93322679.85,3.9,3.95,3.81,3.95,3.59,1.46,3.33,-85.11,57.89
000595,宝塔实业,8.78,10.03,0.8,627852,527508822.69,11.03,8.78,7.9,7.97,7.98,1.76,5.52,-126.18,23.53
000712,锦龙股份,14.82,10.02,1.35,1251396,1834916231.33,10.54,14.82,13.4,13.47,13.47,2.46,13.98,-103.78,5.55
002181,粤 传 媒,5.49,10.02,0.5,522667,279453663.57,7.41,5.49,5.12,5.49,4.99,0.75,4.61,-125.7,1.53
000953,河化股份,6.15,10.02,0.56,479593,288949904.5,8.41,6.15,5.68,5.98,5.59,4.1,13.1,21.3,15.56
002912,中新赛克,31.41,10.02,2.86,181806,535544621.68,13.24,31.41,27.63,28.61,28.55,1.37,11.21,-85.65,3.41
603607,京华激光,19.11,10.02,1.74,339938,633756652.0,10.42,19.11,17.3,17.37,17.37,5.52,19.04,35.83,3.32
000906,浙商中拓,7.36,10.01,0.67,390056,278951554.79,9.87,7.36,6.7,6.71,6.69,0.69,5.56,9.35,1.08
603660,苏州科达,8.35,10.01,0.76,1249528,1004485884.0,12.65,8.35,7.39,7.47,7.59,2.56,25.28,-8.85,6.78
002292,奥飞娱乐,9.23,10.01,0.84,1768469,1616042286.75,5.48,9.23,8.77,9.23,8.39,1.12,17.37,143.68,4.03
003041,真爱美家,19.12,10.01,1.74,155760,282450120.81,16.05,19.12,16.33,16.33,17.38,1.57,11.38,36.78,2.07
001279,强邦新材,51.32,10.01,4.67,68467,345281603.6,11.19,51.32,46.1,46.59,46.65,2.19,18.6,88.59,8.54
000409,云鼎科技,10.44,10.01,0.95,349690,358346466.34,10.64,10.44,9.43,9.5,9.49,0.93,8.26,65.75,4.72
003029,吉大正元,26.71,10.01,2.43,54561,145732885.07,0.0,26.71,26.71,26.71,24.28,0.59,3.19,-54.41,4.24
603516,淳中科技,42.54,10.01,3.87,231754,937760746.0,13.32,42.54,37.39,38.32,38.67,1.26,11.48,125.02,6.3
603103,横店影视,14.95,10.01,1.36,110974,162973112.0,9.2,14.95,13.7,13.76,13.59,3.42,1.75,408.98,6.98
002718,友邦吊顶,15.5,10.01,1.41,65472,98658507.4,12.49,15.5,13.74,13.96,14.09,3.01,10.04,-42.76,2.07
002862,实丰文化,36.06,10.01,3.28,3092,11147949.0,0.0,36.06,36.06,36.06,32.78,0.08,0.34,717.58,10.48
605088,冠盛股份,26.51,10.0,2.41,75501,197912375.0,6.27,26.51,25.0,25.5,24.1,0.84,4.36,16.09,2.1
603899,晨光股份,32.67,10.0,2.97,294540,945738242.0,7.64,32.67,30.4,30.9,29.7,7.24,3.19,22.16,3.51
600545,卓郎智能,2.2,10.0,0.2,1185585,253268392.0,11.0,2.2,1.98,1.99,2.0,3.15,6.63,-24.83,1.24
002582,好想你,6.93,10.0,0.63,294828,197925287.41,10.79,6.93,6.25,6.3,6.3,0.79,8.57,-38.8,0.88
002570,贝因美,5.28,10.0,0.48,2610908,1322585307.14,13.33,5.28,4.64,4.77,4.8,2.39,24.18,59.57,3.7
002195,岩山科技,3.74,10.0,0.34,3456004,1243881425.8,13.53,3.74,3.28,3.33,3.4,1.11,6.16,376.32,2.17
002103,广博股份,11.66,10.0,1.06,123842,144399725.36,0.0,11.66,11.66,11.66,10.6,0.16,3.28,44.34,6.18
000753,漳州发展,3.96,10.0,0.36,149201,59083405.92,0.0,3.96,3.96,3.96,3.6,0.74,1.5,59.76,1.44
000721,西安饮食,9.9,10.0,0.9,660319,628735307.45,11.78,9.9,8.84,8.91,9.0,2.51,15.09,-48.08,17.06
600593,大连圣亚,33.78,10.0,3.07,182863,572889436.0,12.41,33.78,29.97,30.1,30.71,1.55,14.2,31.03,13.31
001229,魅视科技,47.43,10.0,4.31,51808,245250622.94,2.85,47.43,46.2,47.43,43.12,0.94,17.62,68.23,4.92
002362,汉王科技,23.44,10.0,2.13,114900,266994313.66,7.46,23.44,21.85,21.85,21.31,0.48,5.53,-57.29,4.85
600615,丰华股份,14.75,9.99,1.34,50953,75155734.0,0.0,14.75,14.75,14.75,13.41,1.85,2.72,447.78,4.33
605199,葫芦娃,14.2,9.99,1.29,146688,205645213.0,10.69,14.2,12.82,12.9,12.91,4.32,3.67,50.8,4.92
600889,南京化纤,13.65,9.99,1.24,42820,58449546.0,0.0,13.65,13.65,13.65,12.41,3.53,1.17,-23.59,7.0
600776,东方通信,12.88,9.99,1.17,262320,334889351.0,6.66,12.88,12.1,12.18,11.71,0.75,2.74,117.07,4.68
603906,龙蟠科技,12.22,9.99,1.11,53042,64817471.0,0.0,12.22,12.22,12.22,11.11,0.45,0.94,-20.13,2.75
605179,一鸣食品,11.12,9.99,1.01,90956,98914673.0,10.48,11.12,10.06,10.07,10.11,2.91,2.27,90.62,4.04
002933,新兴装备,32.26,9.99,2.93,120374,381142944.36,10.5,32.26,29.18,29.3,29.33,4.64,10.55,167.57,2.53
605050,福然德,10.46,9.99,0.95,163945,167083377.0,10.3,10.46,9.48,9.51,9.51,6.37,3.33,19.12,1.23
001317,三羊马,30.83,9.99,2.8,66105,196156154.72,10.6,30.83,27.86,27.86,28.03,3.39,22.5,159.4,3.04
603569,长久物流,9.03,9.99,0.82,522521,455989224.0,12.18,9.03,8.03,8.09,8.21,1.67,8.66,66.82,1.91
600410,华胜天成,8.37,9.99,0.76,3922029,3260873132.0,6.18,8.37,7.9,8.37,7.61,4.99,35.77,-32.16,2.25
603489,八方股份,24.56,9.99,2.23,99120,235485069.0,11.06,24.56,22.09,22.27,22.33,2.14,4.22,84.46,2.19
002741,光华科技,23.46,9.99,2.13,1624579,3666396601.49,12.0,23.46,20.9,23.46,21.33,13.76,44.94,1207.22,5.34
603056,德邦股份,14.65,9.98,1.33,275802,401346238.0,5.33,14.65,13.94,13.94,13.32,4.54,2.69,21.82,1.87
600787,中储股份,7.05,9.98,0.64,1981713,1334128366.0,14.82,7.05,6.1,6.42,6.41,0.68,9.13,29.89,1.12
002681,奋达科技,6.39,9.98,0.58,3280900,2070471377.76,12.74,6.39,5.65,5.73,5.81,2.15,22.16,56.49,4.67
600250,南京商旅,11.57,9.98,1.05,15129,17504253.0,0.0,11.57,11.57,11.57,10.52,0.1,0.53,68.94,5.99
002155,湖南黄金,22.26,9.98,2.02,92228,205298904.72,0.0,22.26,22.26,22.26,20.24,0.23,0.77,30.09,3.98
002580,圣阳股份,10.03,9.98,0.91,1082176,1062922441.07,7.24,10.03,9.37,9.63,9.12,4.19,23.92,20.53,2.11
001300,三柏硕,14.77,9.98,1.34,215165,307954155.43,10.35,14.77,13.38,13.38,13.43,1.35,32.49,130.58,3.41
603332,苏州龙杰,9.7,9.98,0.88,212356,195994242.0,11.0,9.7,8.73,8.82,8.82,1.68,9.82,27.07,1.66
605300,佳禾食品,13.45,9.98,1.22,130926,172603870.0,10.55,13.45,12.16,12.16,12.23,5.82,3.27,48.82,2.5
600628,新世界,8.27,9.97,0.75,564790,439753904.0,12.5,8.27,7.33,7.51,7.52,4.82,8.73,61.32,1.27
002054,德美化工,7.61,9.97,0.69,51589,39258985.48,0.0,7.61,7.61,7.61,6.92,0.44,1.35,52.08,1.49
603716,塞力医疗,9.93,9.97,0.9,595615,578025986.0,7.75,9.93,9.23,9.93,9.03,2.11,31.19,-25.39,1.94
002796,世嘉科技,13.02,9.97,1.18,279906,357951014.26,8.36,13.02,12.03,12.16,11.84,2.04,12.36,87.77,3.82
002584,西陇科学,8.83,9.96,0.8,830360,698544019.66,10.34,8.83,8.0,8.0,8.03,1.17,19.2,60.38,2.23
002669,康达新材,10.93,9.96,0.99,296311,310937817.55,11.57,10.93,9.78,9.87,9.94,2.81,9.82,-32.52,1.14
002575,群兴玩具,7.18,9.95,0.65,546883,386034867.48,11.49,7.18,6.43,6.47,6.53,2.25,9.46,-335.55,5.59
002734,利民股份,9.06,9.95,0.82,226211,200280111.18,8.74,9.06,8.34,8.42,8.24,1.2,6.96,48.69,1.34
600960,渤海汽车,4.42,9.95,0.4,499994,220605427.0,2.99,4.42,4.3,4.42,4.02,0.78,5.26,-16.61,0.93
600509,天富能源,7.19,9.94,0.65,1084708,764152388.0,10.55,7.19,6.5,6.54,6.54,3.36,7.87,15.06,1.29
002122,汇洲智能,3.21,9.93,0.29,1800152,571735395.8,9.25,3.21,2.94,2.97,2.92,4.18,9.06,70.12,2.75
600249,两面针,5.87,9.93,0.53,267029,156144562.0,3.56,5.87,5.68,5.87,5.34,1.8,4.86,28.82,1.48
600193,创兴资源,4.21,9.92,0.38,804159,322528417.0,9.92,4.21,3.83,4.05,3.83,3.27,18.9,-68.37,6.46
002076,星光股份,2.56,9.87,0.23,201522,51589670.4,0.0,2.56,2.56,2.56,2.33,0.33,1.95,-1039.27,8.79
000727,冠捷科技,3.12,9.86,0.28,2110914,651255982.08,9.86,3.12,2.84,2.85,2.84,1.42,4.66,132.54,4.94
600076,康欣新材,2.46,9.82,0.22,1007309,243479542.0,10.71,2.46,2.22,2.23,2.24,4.54,7.49,-19.77,0.78
300025,华星创业,11.99,9.8,1.07,784876,941662468.79,15.48,12.96,11.27,11.27,10.92,2.23,18.18,-113.06,9.57
832171,志晟信息,23.8,9.32,2.03,128812,299742701.5,12.31,24.2,21.52,21.88,21.77,1.19,19.11,-49.99,9.36
600370,三房巷,2.18,9.0,0.18,800652,171221962.0,11.0,2.2,1.98,1.99,2.0,3.41,2.05,-20.77,1.53
605122,四方新材,12.75,8.6,1.01,96816,122563199.0,11.33,12.91,11.58,11.74,11.74,6.55,5.62,151.53,0.99
